Subject,Task,Contrast,Gradient,Value
07,Semantic,Decision_SCB,2,0.1673
07,Semantic,Decision_SCB,3,0.167
07,Semantic,Decision_MCB,1,-0.0064
07,Semantic,Decision_MCB,2,0.1759
07,Semantic,Decision_MCB,3,0.1273
07,Context,Probe_SCB,1,-0.0216
07,Context,Probe_SCB,2,0.2321
07,Context,Probe_SCB,3,-0.0652
07,Context,Probe_MCB,1,-0.0483
07,Context,Probe_MCB,2,0.2413
07,Context,Probe_MCB,3,-0.0436
07,Context,Dots_SCB,1,0.0027
07,Context,Dots_SCB,2,0.1078
07,Context,Dots_SCB,3,-0.0456
07,Context,Dots_MCB,1,0.0612
07,Context,Dots_MCB,2,0.0675
07,Context,Dots_MCB,3,0.0001
07,Context,Decision_SCB,1,0.0404
07,Context,Decision_SCB,2,0.2432
07,Context,Decision_SCB,3,0.0039
07,Context,Decision_MCB,1,0.0478
07,Context,Decision_MCB,2,0.2854
07,Context,Decision_MCB,3,-0.1077
08,Semantic,Probe_SCB,1,-0.1059
08,Semantic,Probe_SCB,2,0.2236
08,Semantic,Probe_SCB,3,-0.0391
08,Semantic,Probe_MCB,1,-0.0925
08,Semantic,Probe_MCB,2,0.2582
08,Semantic,Probe_MCB,3,-0.0005
08,Semantic,Dots_SCB,1,0.0155
08,Semantic,Dots_SCB,2,-0.011
08,Semantic,Dots_SCB,3,0.0125
08,Semantic,Dots_MCB,1,-0.0085
08,Semantic,Dots_MCB,2,-0.0101
08,Semantic,Dots_MCB,3,0.0117
08,Semantic,Decision_SCB,1,-0.1533
08,Semantic,Decision_SCB,2,0.2917
08,Semantic,Decision_SCB,3,0.0017
08,Semantic,Decision_MCB,1,-0.1772
08,Semantic,Decision_MCB,2,0.3498
08,Semantic,Decision_MCB,3,-0.068
08,Context,Probe_SCB,1,-0.1076
08,Context,Probe_SCB,2,0.3186
08,Context,Probe_SCB,3,-0.039
08,Context,Probe_MCB,1,-0.1371
08,Context,Probe_MCB,2,0.3386
08,Context,Probe_MCB,3,-0.0224
08,Context,Dots_SCB,1,0.0402
08,Context,Dots_SCB,2,0.1306
08,Context,Dots_SCB,3,0.0193
08,Context,Dots_MCB,1,-0.0797
08,Context,Dots_MCB,2,0.1132
08,Context,Dots_MCB,3,-0.0202
08,Context,Decision_SCB,1,-0.2536
08,Context,Decision_SCB,2,0.3571
08,Context,Decision_SCB,3,-0.0528
08,Context,Decision_MCB,1,-0.1389
08,Context,Decision_MCB,2,0.3688
08,Context,Decision_MCB,3,-0.0536
09,Semantic,Probe_SCB,1,-0.2088
09,Semantic,Probe_SCB,2,0.3359
09,Semantic,Probe_SCB,3,-0.0302
09,Semantic,Probe_MCB,1,-0.183
09,Semantic,Probe_MCB,2,0.336
09,Semantic,Probe_MCB,3,0.0098
09,Semantic,Dots_SCB,1,0.0013
09,Semantic,Dots_SCB,2,0.1471
09,Semantic,Dots_SCB,3,-0.0267
09,Semantic,Dots_MCB,1,-0.1011
09,Semantic,Dots_MCB,2,0.1958
09,Semantic,Dots_MCB,3,0.0271
09,Semantic,Decision_SCB,1,-0.2706
09,Semantic,Decision_SCB,2,0.2883
09,Semantic,Decision_SCB,3,0.1172
09,Semantic,Decision_MCB,1,-0.1554
09,Semantic,Decision_MCB,2,0.3073
09,Semantic,Decision_MCB,3,-0.1195
09,Context,Probe_SCB,1,-0.1581
09,Context,Probe_SCB,2,0.3995
09,Context,Probe_SCB,3,0.0316
09,Context,Probe_MCB,1,-0.1492
09,Context,Probe_MCB,2,0.4071
09,Context,Probe_MCB,3,-0.0094
09,Context,Dots_SCB,1,-0.0201
09,Context,Dots_SCB,2,0.2567
09,Context,Dots_SCB,3,0.0522
09,Context,Dots_MCB,1,0.0005
09,Context,Dots_MCB,2,0.2488
09,Context,Dots_MCB,3,0.1126
09,Context,Decision_SCB,1,-0.12
09,Context,Decision_SCB,2,0.4296
09,Context,Decision_SCB,3,0.0615
09,Context,Decision_MCB,1,-0.1715
09,Context,Decision_MCB,2,0.4045
09,Context,Decision_MCB,3,0.0396
10,Semantic,Probe_SCB,1,-0.1909
10,Semantic,Probe_SCB,2,0.3293
10,Semantic,Probe_SCB,3,0.0201
10,Semantic,Probe_MCB,1,-0.1682
10,Semantic,Probe_MCB,2,0.3421
10,Semantic,Probe_MCB,3,0.0412
10,Semantic,Dots_SCB,1,-0.0739
10,Semantic,Dots_SCB,2,0.143
10,Semantic,Dots_SCB,3,0.0382
10,Semantic,Dots_MCB,1,-0.2314
10,Semantic,Dots_MCB,2,0.1156
10,Semantic,Dots_MCB,3,0.0207
10,Semantic,Decision_SCB,1,-0.0708
10,Semantic,Decision_SCB,2,0.3571
10,Semantic,Decision_SCB,3,0.0139
10,Semantic,Decision_MCB,1,-0.0494
10,Semantic,Decision_MCB,2,0.3414
10,Semantic,Decision_MCB,3,-0.0023
10,Context,Probe_SCB,1,-0.1794
10,Context,Probe_SCB,2,0.3153
10,Context,Probe_SCB,3,0.0551
10,Context,Probe_MCB,1,-0.1823
10,Context,Probe_MCB,2,0.3183
10,Context,Probe_MCB,3,0.0531
10,Context,Dots_SCB,1,0.0245
10,Context,Dots_SCB,2,0.1281
10,Context,Dots_SCB,3,-0.0202
10,Context,Dots_MCB,1,-0.0106
10,Context,Dots_MCB,2,0.095
10,Context,Dots_MCB,3,0.0907
10,Context,Decision_SCB,1,-0.1238
10,Context,Decision_SCB,2,0.3143
10,Context,Decision_SCB,3,0.0758
10,Context,Decision_MCB,1,-0.0901
10,Context,Decision_MCB,2,0.3424
10,Context,Decision_MCB,3,0.0244
11,Semantic,Probe_SCB,1,-0.1186
11,Semantic,Probe_SCB,2,0.1638
11,Semantic,Probe_SCB,3,-0.1541
11,Semantic,Probe_MCB,1,-0.1071
11,Semantic,Probe_MCB,2,0.1612
11,Semantic,Probe_MCB,3,-0.1434
11,Semantic,Dots_SCB,1,0.013
11,Semantic,Dots_SCB,2,0.079
11,Semantic,Dots_SCB,3,-0.1098
11,Semantic,Dots_MCB,1,-0.0189
11,Semantic,Dots_MCB,2,0.0349
11,Semantic,Dots_MCB,3,-0.1712
11,Semantic,Decision_SCB,1,-0.2144
11,Semantic,Decision_SCB,2,0.2567
11,Semantic,Decision_SCB,3,0.0035
11,Semantic,Decision_MCB,1,-0.1178
11,Semantic,Decision_MCB,2,0.2929
11,Semantic,Decision_MCB,3,0.1006
11,Context,Probe_SCB,1,-0.1203
11,Context,Probe_SCB,2,0.2184
11,Context,Probe_SCB,3,-0.0959
11,Context,Probe_MCB,1,-0.1328
11,Context,Probe_MCB,2,0.2087
11,Context,Probe_MCB,3,-0.0417
11,Context,Dots_SCB,1,-0.094
11,Context,Dots_SCB,2,0.0371
11,Context,Dots_SCB,3,0.0423
11,Context,Dots_MCB,1,-0.0696
11,Context,Dots_MCB,2,0.0721
11,Context,Dots_MCB,3,-0.0003
11,Context,Decision_SCB,1,-0.09
11,Context,Decision_SCB,2,0.3517
11,Context,Decision_SCB,3,-0.1051
11,Context,Decision_MCB,1,-0.139
11,Context,Decision_MCB,2,0.3407
11,Context,Decision_MCB,3,-0.1114
12,Semantic,Probe_SCB,1,0.0464
12,Semantic,Probe_SCB,2,0.1683
12,Semantic,Probe_SCB,3,0.085
12,Semantic,Probe_MCB,1,0.0455
